accident_index,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_(district),local_authority_(highway),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
201501CW10490,2,8,0,5,0,1,0,0,0,0,1,1,6,1,55,8,1997,2,2,-1,1,-1,1,2,527770,181910,-0.159774,51.521664,1,3,2,1,17/04/2015,6,1899-12-30 02:20:00,1,E09000033,3,41,6,30,6,2,3,501,0,5,4,1,1,0,0,1,1,E01004662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10491,1,1,0,18,0,0,0,8,0,0,1,1,6,2,35,6,-1,-1,-1,-1,1,-1,1,2,529170,180700,-0.14005,51.510472,1,3,2,1,17/04/2015,6,1899-12-30 17:50:00,1,E09000033,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033595,1,1,2,35,6,3,0,0,0,0,0,1,1,4
201501CW10491,2,9,0,2,0,0,0,0,0,0,3,1,6,1,37,7,2993,2,5,-1,1,-1,1,2,529170,180700,-0.14005,51.510472,1,3,2,1,17/04/2015,6,1899-12-30 17:50:00,1,E09000033,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10492,1,1,0,18,0,1,0,0,0,0,3,1,6,2,27,6,-1,-1,-1,-1,1,-1,1,2,525390,181950,-0.194046,51.522556,1,3,2,1,17/04/2015,6,1899-12-30 17:22:00,1,E09000033,3,404,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004755,1,1,2,27,6,3,0,0,0,0,0,1,1,1
201501CW10492,2,3,0,7,0,8,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,525390,181950,-0.194046,51.522556,1,3,2,1,17/04/2015,6,1899-12-30 17:22:00,1,E09000033,3,404,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10493,1,19,0,1,0,1,0,0,0,0,2,1,1,1,40,7,2198,2,1,-1,1,-1,1,2,527360,182580,-0.165438,51.527777,1,3,2,1,17/04/2015,6,1899-12-30 10:40:00,1,E09000033,6,0,6,30,3,4,3,41,0,0,1,1,1,0,0,1,1,E01004725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10493,2,19,0,2,0,1,0,0,0,0,0,1,1,1,30,6,1248,2,4,-1,1,-1,1,2,527360,182580,-0.165438,51.527777,1,3,2,1,17/04/2015,6,1899-12-30 10:40:00,1,E09000033,6,0,6,30,3,4,3,41,0,0,1,1,1,0,0,1,1,E01004725,1,3,1,30,6,3,9,9,0,0,2,0,1,3
201501CW10494,1,1,0,18,0,8,0,0,0,0,1,1,6,1,30,6,-1,-1,-1,-1,1,-1,1,2,527830,180980,-0.159247,51.513292,1,3,2,1,17/04/2015,6,1899-12-30 11:10:00,1,E09000033,3,40,1,30,1,2,6,0,0,5,1,1,1,0,0,1,1,E01004689,1,1,1,30,6,3,0,0,0,0,0,1,1,6
201501CW10494,2,90,0,18,0,8,0,0,0,0,1,1,1,1,48,8,-1,-1,-1,-1,1,-1,1,2,527830,180980,-0.159247,51.513292,1,3,2,1,17/04/2015,6,1899-12-30 11:10:00,1,E09000033,3,40,1,30,1,2,6,0,0,5,1,1,1,0,0,1,1,E01004689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10495,1,9,0,18,0,8,0,0,0,0,1,1,6,1,26,6,1229,1,4,-1,1,-1,1,2,528340,179980,-0.152265,51.50419,1,3,2,1,13/04/2015,2,1899-12-30 19:40:00,1,E09000033,3,4202,1,30,1,4,3,4202,0,0,1,1,1,0,0,1,2,E01004689,1,1,1,26,6,3,0,0,0,0,0,9,1,7
